,Alpha_o_7DAYMADRS_corr,Alpha_s_7DAYMADRS_corr,Beta_o_7DAYMADRS_corr,Beta_s_7DAYMADRS_corr,Gamma_o_7DAYMADRS_corr,Gamma_s_7DAYMADRS_corr,Theta_o_7DAYMADRS_corr,Theta_s_7DAYMADRS_corr
126,0.078959664,0.020062528,0.112301239,0.004591627,0.000906991,0.001660653,0.126444166,0.001101874
127,0.123956781,0.053920528,0.009755281,0.002139484,0.025860095,0.009386866,0.095034382,0.00436265
128,0.019391953,0.018263664,0.117689014,0.030088863,0.004186264,0.058565405,0.001671046,0.002136228
129,0.170887962,0.329897663,0.067913178,0.240292316,0.009368094,0.147769603,0.111818124,0.137873146
130,0.06105666,0.004109527,0.100714374,0.000802538,0.062204264,0.01439604,0.085401533,0.012798457
131,0.215836347,0.078290281,0.146292094,0.063608937,0.160982213,0.084995254,0.260608582,0.030468686
132,0.051286353,0.155104518,0.003762182,0.059660689,2.67E-05,0.058345706,0.033911742,0.018605349
133,0.081796553,0.092808379,0.112152996,0.073149461,0.10522101,0.091651335,0.122298411,0.088744519
134,0.156345878,1.45E-05,0.156628284,0.013379937,0.072580805,0.000485642,0.221184758,3.11E-05
135,0.076170483,0.089841721,0.146146523,0.022146214,0.072157373,0.020567819,0.010150685,0.024084464
136,0.066679016,0.20907037,0.060962468,0.070693071,0.056781421,0.069333608,0.122134753,0.077828147
137,0.343869447,0.347368708,0.11401957,0.434679998,0.046780401,0.420873573,0.202693108,0.23934345
138,0.117072609,0.007378834,0.17255921,0.00029492,0.012502512,0.036836526,0.053160959,0.000708091
139,0.000679245,0.286397337,0.00060546,0.157953109,0.002382778,0.14401919,0.001332092,0.179412483
140,0.128208877,0.057651417,0.077246208,0.005385604,0.025684096,0.055764444,0.132203696,0.000684741
141,0.105233663,0.014540882,0.191583688,0.002323979,0.061653489,0.063303913,0.107297288,0.013428696
142,0.110189394,0.054086485,0.159118972,0.073680759,0.121340755,0.091068731,0.118260497,0.039545964
143,0.050722141,0.309314111,0.083834931,0.41070891,0.057644424,0.46455218,0.042392958,0.291638882
144,0.118100931,0.189995839,0.04934144,0.219703547,0.06619248,0.192903077,0.130151665,0.171737191
145,0.067486892,0.117199151,0.117566907,0.168722457,0.139955042,0.245050185,0.103249524,0.139493556
146,0.043234466,0.199351637,0.060068101,0.242233457,0.026400597,0.238449052,0.016944596,0.22618944
147,0.098571968,0.044870295,0.066173607,0.054281459,0.152108452,0.103999011,0.13533489,0.026353011
148,0.075608735,0.003405945,0.04311389,0.005657658,0.037034178,0.007324426,0.056345384,0.010945544
149,0.116256627,0.132976201,0.089897135,0.083084641,0.001437491,0.166177743,0.160738269,0.129044593
150,0.112651196,0.048287097,0.167265781,0.005750649,0.162581815,0.015898269,0.049932874,0.072132848
151,0.02619804,0.082244773,0.107660323,0.137637313,0.135963546,0.144449875,0.013669899,0.085074436
152,0.054452947,0.163193279,0.033709134,0.126455944,0.001388766,0.198673977,0.039637418,0.152240602
153,0.000425,0.026574051,0.002039005,0.022314287,0.045368643,0.062634295,0.00120818,0.002117814
154,0.114313668,0.308266246,0.12937843,0.205966265,0.05847921,0.052818745,0.091620327,0.191360855
155,0.143968495,0.00697562,0.15954704,0.009455343,0.157677045,0.013155398,0.127733827,0.002160448
156,0.130621359,0.080535476,0.162390936,0.094359858,0.178223137,0.114337556,0.100867562,0.085197689
157,0.2082565,0.233522485,0.191101155,0.17905663,0.12863006,0.175873606,0.168502894,0.201807032
158,0.132663833,0.077354115,0.13112358,0.122330234,0.109839613,0.141002447,0.133618789,0.047379074
159,0.197554058,0.137918266,0.244481369,0.162909978,0.230271215,0.076066219,0.194907375,0.093932977
160,0.038704312,0.004280882,0.088078281,0.017659346,0.114663226,0.082221183,0.035399651,0.000260096
161,0.307345515,0.000480017,0.293540604,0.005340319,0.133918607,0.014770839,0.326141243,0.021394163
162,0.08251191,0.013532258,0.129931904,0.010384707,0.189672661,0.015697858,0.074629798,0.002071455
163,0.224716665,0.023431225,0.226444969,0.05491183,0.217518586,0.159383364,0.191037606,0.012417891
164,0.211080824,0.177698635,0.245080718,0.209069201,0.227229832,0.162121171,0.206712739,0.157129813
165,0.238755537,3.52E-05,0.288754456,0.014454636,0.278511103,0.005513264,0.281085671,0.024598171
166,0.142887319,0.087280718,0.183319093,0.199328682,0.172278899,0.311803908,0.151360465,0.106086295
167,0.091013923,0.062037732,0.11450678,0.104293582,0.133256459,0.029467448,0.090198524,0.13791574
168,0.230172531,0.005459273,0.238989238,0.028597965,0.246407238,0.080253776,0.265546177,0.004774527
