...1,subject_id,Group,timepoint,frequency_band,measure,value
9,RS_033_deltas,1,24H,Gamma,TC,0.012521082
9,RS_033_deltas,1,24H,Theta,DTC,0.573241252
9,RS_033_deltas,1,24H,Theta,O,0.531989055
9,RS_033_deltas,1,24H,Theta,S,-0.595747236
9,RS_033_deltas,1,24H,Theta,TC,-0.184569758
9,RS_033_deltas,1,24H,Wholeband,DTC,0.878983247
9,RS_033_deltas,1,24H,Wholeband,O,0.185799669
9,RS_033_deltas,1,24H,Wholeband,S,-0.112560396
9,RS_033_deltas,1,24H,Wholeband,TC,-0.008106314
10,RS_034_deltas,1,24H,Alpha,DTC,-0.155297502
10,RS_034_deltas,1,24H,Alpha,O,0.097846732
10,RS_034_deltas,1,24H,Alpha,S,0.525976457
10,RS_034_deltas,1,24H,Alpha,TC,0.337427852
10,RS_034_deltas,1,24H,Beta,DTC,-1.134054127
10,RS_034_deltas,1,24H,Beta,O,-0.003694761
10,RS_034_deltas,1,24H,Beta,S,0.300925272
10,RS_034_deltas,1,24H,Beta,TC,0.205787616
10,RS_034_deltas,1,24H,Delta,DTC,-0.394350399
10,RS_034_deltas,1,24H,Delta,O,-1.86821e-4
10,RS_034_deltas,1,24H,Delta,S,-1.095979699
10,RS_034_deltas,1,24H,Delta,TC,-0.260974719
10,RS_034_deltas,1,24H,Gamma,DTC,-0.433772666
10,RS_034_deltas,1,24H,Gamma,O,0.146721831
10,RS_034_deltas,1,24H,Gamma,S,-0.407652788
10,RS_034_deltas,1,24H,Gamma,TC,0.001293674
10,RS_034_deltas,1,24H,Theta,DTC,-0.109879213
10,RS_034_deltas,1,24H,Theta,O,0.131858339
10,RS_034_deltas,1,24H,Theta,S,-0.021447691
10,RS_034_deltas,1,24H,Theta,TC,0.15777505
10,RS_034_deltas,1,24H,Wholeband,DTC,-0.637222909
10,RS_034_deltas,1,24H,Wholeband,O,0.168366415
10,RS_034_deltas,1,24H,Wholeband,S,0.516655325
10,RS_034_deltas,1,24H,Wholeband,TC,0.333222673
11,RS_035_deltas,1,24H,Alpha,DTC,-0.435749906
11,RS_035_deltas,1,24H,Alpha,O,-0.10412849
11,RS_035_deltas,1,24H,Alpha,S,0.426128754
11,RS_035_deltas,1,24H,Alpha,TC,0.255953326
11,RS_035_deltas,1,24H,Beta,DTC,-0.317263088
11,RS_035_deltas,1,24H,Beta,O,-0.021188929
11,RS_035_deltas,1,24H,Beta,S,-0.020999161
11,RS_035_deltas,1,24H,Beta,TC,0.008381463
11,RS_035_deltas,1,24H,Delta,DTC,-0.22072067
11,RS_035_deltas,1,24H,Delta,O,0.030188925
11,RS_035_deltas,1,24H,Delta,S,-0.57232708
11,RS_035_deltas,1,24H,Delta,TC,-0.243508414
11,RS_035_deltas,1,24H,Gamma,DTC,0.268875175
11,RS_035_deltas,1,24H,Gamma,O,0.08603061
11,RS_035_deltas,1,24H,Gamma,S,0.070502552
11,RS_035_deltas,1,24H,Gamma,TC,-0.187222394
11,RS_035_deltas,1,24H,Theta,DTC,-0.385889323
11,RS_035_deltas,1,24H,Theta,O,0.227240115
11,RS_035_deltas,1,24H,Theta,S,0.106809254
11,RS_035_deltas,1,24H,Theta,TC,0.175289901
11,RS_035_deltas,1,24H,Wholeband,DTC,-0.233305736
11,RS_035_deltas,1,24H,Wholeband,O,-0.008827525
11,RS_035_deltas,1,24H,Wholeband,S,-0.03756699
11,RS_035_deltas,1,24H,Wholeband,TC,0.001707198
12,RS_037_deltas,1,24H,Alpha,DTC,-0.2774019446153846
12,RS_037_deltas,1,24H,Alpha,O,0.03172302876923078
12,RS_037_deltas,1,24H,Alpha,S,-0.1124642402692308
12,RS_037_deltas,1,24H,Alpha,TC,-0.05060289107692309
12,RS_037_deltas,1,24H,Beta,DTC,-0.2212425766153846
12,RS_037_deltas,1,24H,Beta,O,-0.0052496723846153755
12,RS_037_deltas,1,24H,Beta,S,-0.13267642665384619
12,RS_037_deltas,1,24H,Beta,TC,-0.07085994488461539
12,RS_037_deltas,1,24H,Delta,DTC,-0.07057970765384615
12,RS_037_deltas,1,24H,Delta,O,-0.04526332242307693
12,RS_037_deltas,1,24H,Delta,S,-0.04759004319230769
12,RS_037_deltas,1,24H,Delta,TC,0.08552948188461543
12,RS_037_deltas,1,24H,Gamma,DTC,-0.3175801334615384
12,RS_037_deltas,1,24H,Gamma,O,-0.01777716180769231
12,RS_037_deltas,1,24H,Gamma,S,0.1247190796923077
12,RS_037_deltas,1,24H,Gamma,TC,-0.10428458853846154
12,RS_037_deltas,1,24H,Theta,DTC,-0.3223068706923077
12,RS_037_deltas,1,24H,Theta,O,0.056443742038461545
12,RS_037_deltas,1,24H,Theta,S,-0.20784032311538464
12,RS_037_deltas,1,24H,Theta,TC,-0.12047144807692309
12,RS_037_deltas,1,24H,Wholeband,DTC,-0.28353664146153845
12,RS_037_deltas,1,24H,Wholeband,O,0.014150051923076912
12,RS_037_deltas,1,24H,Wholeband,S,-0.11977887307692309
12,RS_037_deltas,1,24H,Wholeband,TC,-0.06309601138461539
13,RS_039_deltas,1,24H,Alpha,DTC,-0.232419951
13,RS_039_deltas,1,24H,Alpha,O,0.193543278
13,RS_039_deltas,1,24H,Alpha,S,0.120890453
13,RS_039_deltas,1,24H,Alpha,TC,0.059822446
13,RS_039_deltas,1,24H,Beta,DTC,-0.40927818
13,RS_039_deltas,1,24H,Beta,O,0.056323375
13,RS_039_deltas,1,24H,Beta,S,0.229118367
13,RS_039_deltas,1,24H,Beta,TC,0.109888099
13,RS_039_deltas,1,24H,Delta,DTC,-0.171692959
