...1,subject_id,Group,timepoint,frequency_band,measure,value
1,RS_009_deltas,1,Day7,Theta,DTC,0.134141392
1,RS_009_deltas,1,Day7,Theta,O,0.320579029
1,RS_009_deltas,1,Day7,Theta,S,0.353116999
1,RS_009_deltas,1,Day7,Theta,TC,-0.08247337
1,RS_009_deltas,1,Day7,Wholeband,DTC,0.2510725
1,RS_009_deltas,1,Day7,Wholeband,O,-0.198794676
1,RS_009_deltas,1,Day7,Wholeband,S,0.612805614
1,RS_009_deltas,1,Day7,Wholeband,TC,-0.021909862
2,RS_011_deltas,1,Day7,Alpha,DTC,-0.20037409
2,RS_011_deltas,1,Day7,Alpha,O,0.439816503
2,RS_011_deltas,1,Day7,Alpha,S,-0.189679843
2,RS_011_deltas,1,Day7,Alpha,TC,-0.701821459
2,RS_011_deltas,1,Day7,Beta,DTC,0.154664861
2,RS_011_deltas,1,Day7,Beta,O,0.303163502
2,RS_011_deltas,1,Day7,Beta,S,0.286565571
2,RS_011_deltas,1,Day7,Beta,TC,0.218533379
2,RS_011_deltas,1,Day7,Delta,DTC,0.019297731
2,RS_011_deltas,1,Day7,Delta,O,-0.120236979
2,RS_011_deltas,1,Day7,Delta,S,0.075364714
2,RS_011_deltas,1,Day7,Delta,TC,0.056066983
2,RS_011_deltas,1,Day7,Gamma,DTC,0.214850175
2,RS_011_deltas,1,Day7,Gamma,O,-0.186279992
2,RS_011_deltas,1,Day7,Gamma,S,1.731772948
2,RS_011_deltas,1,Day7,Gamma,TC,0.701985495
2,RS_011_deltas,1,Day7,Theta,DTC,-0.056891691
2,RS_011_deltas,1,Day7,Theta,O,-0.471682483
2,RS_011_deltas,1,Day7,Theta,S,0.056857906
2,RS_011_deltas,1,Day7,Theta,TC,-0.419421914
2,RS_011_deltas,1,Day7,Wholeband,DTC,0.168260999
2,RS_011_deltas,1,Day7,Wholeband,O,-0.328626893
2,RS_011_deltas,1,Day7,Wholeband,S,0.323575141
2,RS_011_deltas,1,Day7,Wholeband,TC,-0.291233351
3,RS_012_deltas,1,Day7,Alpha,DTC,0.690620895
3,RS_012_deltas,1,Day7,Alpha,O,0.503091883
3,RS_012_deltas,1,Day7,Alpha,S,1.384904697
3,RS_012_deltas,1,Day7,Alpha,TC,0.719530484
3,RS_012_deltas,1,Day7,Beta,DTC,0.568553674
3,RS_012_deltas,1,Day7,Beta,O,0.427946808
3,RS_012_deltas,1,Day7,Beta,S,1.71008668
3,RS_012_deltas,1,Day7,Beta,TC,0.920726069
3,RS_012_deltas,1,Day7,Delta,DTC,0.559395084
3,RS_012_deltas,1,Day7,Delta,O,0.297325155
3,RS_012_deltas,1,Day7,Delta,S,1.160203278
3,RS_012_deltas,1,Day7,Delta,TC,0.600808193
3,RS_012_deltas,1,Day7,Gamma,DTC,0.370342582
3,RS_012_deltas,1,Day7,Gamma,O,0.503096678
3,RS_012_deltas,1,Day7,Gamma,S,0.205745231
3,RS_012_deltas,1,Day7,Gamma,TC,0.020187193
3,RS_012_deltas,1,Day7,Theta,DTC,0.223616654
3,RS_012_deltas,1,Day7,Theta,O,0.033066395
